,country_name,city_name,measure,aqi_level,lat,lon
0,Russia,Pechora,min_aqi,17,65.1142862,57.16074
1,Brazil,Andradina,min_aqi,11,-22.2477565,-53.3480621
2,Italy,Codroipo,min_aqi,27,45.9611171,12.9789516
3,Poland,Piaseczno,min_aqi,28,52.0747377,21.0270885
4,France,Matoury,min_aqi,19,4.8496712,-52.3268695
5,United States of America,Provo,min_aqi,12,40.2337289,-111.6587085
6,Germany,Sonthofen,min_aqi,23,47.5134055,10.2721524
7,Belgium,Hoogstraten,min_aqi,29,51.39573015,4.744087183464012
8,Egypt,Alexandria,min_aqi,56,43.9702236,25.3288462
9,China,Simao,min_aqi,20,-21.4800208,-47.5531095
10,Netherlands,Lelystad,min_aqi,26,52.5150949,5.4768915
11,India,Birur,min_aqi,21,13.5988956,75.9734401
12,Pakistan,Dir,min_aqi,59,9.591323,41.8566341
13,Republic of North Macedonia,Valandovo,min_aqi,33,41.3173419,22.5619765
14,Colombia,Puerto Asis,min_aqi,10,0.4979751,-76.4951418
15,Romania,Caracal,min_aqi,35,44.1123292,24.3463095
16,Indonesia,Manokwari,min_aqi,10,-0.8614456,134.0767324
17,Finland,Kerava,min_aqi,23,60.4034398,25.1041013
18,South Africa,Graaff Reinet,min_aqi,18,-32.2535405,24.5336485
19,United Kingdom,Inverness,min_aqi,23,57.4790124,-4.225739
20,Tanzania,Kahama,min_aqi,15,-3.8289877,32.6011558
21,Haiti,Dessalines,min_aqi,74,19.2613129,-72.5170223
22,Somalia,Dinsor,min_aqi,22,35.6918588,-78.8281748
23,Philippines,Panacan,min_aqi,14,9.2464008,118.4090357
24,Latvia,Ludza,min_aqi,31,56.5477177,27.7242092
25,Chad,Oum Hadjer,min_aqi,27,13.2937546,19.6889527
26,New Zealand,Levin,min_aqi,13,50.6137762,14.284155
27,Tunisia,Qurbah,min_aqi,31,15.351831,44.573073
28,Vietnam,Son La,min_aqi,21,21.8487579,106.6140692
29,Iran,Hadishahr,min_aqi,36,38.8416756,45.6648065
30,Mexico,La Mira,min_aqi,14,39.7210593,-1.4395226
31,Japan,Hondo,min_aqi,26,29.3474121,-99.1412026
32,El Salvador,Ahuachapan,min_aqi,62,13.86349925,-89.92738611239653
33,Bulgaria,Svilengrad,min_aqi,31,41.7689145,26.201814
34,Nigeria,Jega,min_aqi,46,44.2914482,27.6343401
35,South Sudan,Waw,min_aqi,24,50.0547467,19.9361073
36,Guatemala,Dolores,min_aqi,27,37.7524811,-108.4596087
37,Ireland,Limerick,min_aqi,23,52.661252,-8.6301239
38,Turkey,Turhal,min_aqi,26,40.3868287,36.0838319
39,Peru,Huaraz,min_aqi,9,-9.5298511,-77.5289981
40,Dem. Rep. Congo,Moba,min_aqi,30,-7.0427487,29.7737268
41,Canada,Kitimat,min_aqi,15,54.0535577,-128.6540519
42,Switzerland,Einsiedeln,min_aqi,28,47.1286095,8.7500299
43,Denmark,Nuuk,min_aqi,23,64.1766835,-51.7359356
